"cover","elev","tci","streamdist","disturb","beers"
0,568.2,5.091959,491.9,"LT-SEL",0.28753668
0,500.6,5.073699,53.85,"LT-SEL",1.96930933
0,523.9,5.99377823,120.4,"LT-SEL",1.93434393
0,531.5,5.92860079,70,"LT-SEL",1.78323567
0,513.4,4.8626132,111.8,"LT-SEL",1.99712551
0,523.9,5.99377823,120.4,"LT-SEL",1.93434393
0,497.5,3.93254805,78.1,"LT-SEL",1.99414933
0,584.3,4.62709618,166.4,"LT-SEL",0.01241237
6,1918,5.62233591,526.3,"VIRGIN",1.44500017
6,1888,5.75559282,836.5,"VIRGIN",1.26651835
8,1986,3.81454206,523.5,"VIRGIN",1.95193851
8,1914,5.89898396,829.3,"VIRGIN",1.24210036
8,1942,4.70868015,460.1,"VIRGIN",1.86987484
6,1956,4.23310614,471.7,"VIRGIN",0.27363729
6,1788,8.19665146,340.1,"VIRGIN",0.64475149
0,535.6,11.23,0,"CORPLOG",1.88379848
0,529.6,13.19,14.14,"CORPLOG",1.3555007
0,632.6,9.77134705,198.5,"LT-SEL",0.75945014
0,906.1,8.28208542,276.6,"LT-SEL",1.21598887
